German,English
Amsel,blackbird
Auerhuhn,capercaillie
Bachstelze,pied wagtail
Baumpieper,tree pipit
Bergpieper,water pipit
Blaumeise,blue tit
Braunkehlchen,whinchat
Buchfink,chaffinch
Buntspecht,great spotted woodpecker
Dohle,jackdaw
Eichelhäher,jay
Eisvogel,kingfisher
Feldlerche,skylark
Feldsperling,tree sparrow
Fichtenkreuzschnabel,red crossbill
Fitis,willow warbler
Flussregenpfeifer,ringed plover
Flussseeschwalbe,common tern
Gartenbaumläufer,short-toed treecreeper
Gartengrasmücke,garden warbler
Gartenrotschwanz,common redstart
Gebirgsstelze,grey wagtail
Gelbspötter,icterine warbler
Goldammer,yellowhammer
Graureiher,grey heron
Grauschnäpper,spotted flycatcher
Grünfink,green finch
Grünspecht,green woodpecker
Gänsesäger,goosander
Haubentaucher,great crested grebe
Hausrotschwanz,black redstart
Heckenbraunelle,dunnock
Kiebitz,northern lapwing
Kleiber,nuthatch
Kohlmeise,great tit
Kuckuck,cuckoo
Lachmöwe,black-headed gull
Mauersegler,swift
Mehlschwalbe,house martin
Misteldrossel,mistle thrush
Mäusebussard,eurasian buzzard
Mönchsgrasmücke,blackcap
Nebelkrähe,hooded crow
Neuntöter,red-backed shrike
Pirol,oriole
Rabenkrähe,carrion crow
Rauchschwalbe,barn swallow
Rebhuhn,partridge
Reiherente,tufted duck
Ringdrossel,ring ouzel
Ringeltaube,wood pigeon
Rotkehlchen,robin
Schwarzstorch,black stork
Singdrossel,song thrush
Sperber,sparrowhawk
Star,starling
Stockente,mallard
Sumpfmeise,marsh tit
Sumpfrohrsänger,marsh warbler
Tannenhäher,nutcracker
Tannenmeise,coal tit
Teichhuhn,moorhen
Turmfalke,kestrel
Türkentaube,collared dove
Uhu,eagle owl
Wachtel,quail
Waldbaumläufer,eurasian treecrepper
Waldkauz,tawny owl
Waldlaubsänger,wood warbler
Wasseramsel,dipper
Weißstorch,white stork
Wintergoldhähnchen,goldcrest
Zaunkönig,wren
Zilpzalp,chiffchaff
